IMIÊ PIERWSZE;P£EÆ;LICZBA WYST¥PIEÑ;
ANNA;KOBIETA;1075653;1075653
KATARZYNA;KOBIETA;605826;1681479
MARIA;KOBIETA;594197;2275676
MA£GORZATA;KOBIETA;579481;2855157
AGNIESZKA;KOBIETA;548636;3403793
BARBARA;KOBIETA;485438;3889231
EWA;KOBIETA;478990;4368221
MAGDALENA;KOBIETA;434693;4802914
EL¯BIETA;KOBIETA;420102;5223016
KRYSTYNA;KOBIETA;413847;5636863
JOANNA;KOBIETA;404892;6041755
ALEKSANDRA;KOBIETA;389099;6430854
MONIKA;KOBIETA;378440;6809294
ZOFIA;KOBIETA;373092;7182386
TERESA;KOBIETA;335287;7517673
NATALIA;KOBIETA;314773;7832446
JULIA;KOBIETA;303234;8135680
DANUTA;KOBIETA;301751;8437431
KAROLINA;KOBIETA;293737;8731168
MARTA;KOBIETA;289815;9020983
BEATA;KOBIETA;280756;9301739
DOROTA;KOBIETA;269186;9570925
ALICJA;KOBIETA;251102;9822027
HALINA;KOBIETA;243336;10065363
JADWIGA;KOBIETA;238547;10303910
JOLANTA;KOBIETA;238489;10542399
IWONA;KOBIETA;233227;10775626
GRA¯YNA;KOBIETA;230489;11006115
JANINA;KOBIETA;226676;11232791
PAULINA;KOBIETA;223901;11456692
ZUZANNA;KOBIETA;219547;11676239
JUSTYNA;KOBIETA;216865;11893104
IRENA;KOBIETA;215927;12109031
HANNA;KOBIETA;215797;12324828
WIKTORIA;KOBIETA;203468;12528296
BO¯ENA;KOBIETA;200589;12728885
RENATA;KOBIETA;188669;12917554
URSZULA;KOBIETA;186308;13103862
AGATA;KOBIETA;183638;13287500
SYLWIA;KOBIETA;182687;13470187
MAJA;KOBIETA;175030;13645217
PATRYCJA;KOBIETA;169306;13814523
HELENA;KOBIETA;167835;13982358
IZABELA;KOBIETA;159380;14141738
EMILIA;KOBIETA;159330;14301068
OLIWIA;KOBIETA;156058;14457126
ANETA;KOBIETA;151841;14608967
WERONIKA;KOBIETA;150995;14759962
EWELINA;KOBIETA;148260;14908222
MARTYNA;KOBIETA;141765;15049987
KLAUDIA;KOBIETA;138643;15188630
GABRIELA;KOBIETA;133051;15321681
MARZENA;KOBIETA;129686;15451367
LENA;KOBIETA;126549;15577916
DOMINIKA;KOBIETA;122527;15700443
MARIANNA;KOBIETA;121290;15821733
AMELIA;KOBIETA;121159;15942892
KINGA;KOBIETA;120526;16063418
STANIS£AWA;KOBIETA;115374;16178792
EDYTA;KOBIETA;114204;16292996
KAMILA;KOBIETA;111005;16404001
WIES£AWA;KOBIETA;106801;16510802
ALINA;KOBIETA;102163;16612965
WANDA;KOBIETA;95630;16708595
DARIA;KOBIETA;85550;16794145
LIDIA;KOBIETA;83109;16877254
MARIOLA;KOBIETA;82314;16959568
LUCYNA;KOBIETA;80942;17040510
TETIANA;KOBIETA;78904;17119414
NIKOLA;KOBIETA;76728;17196142
MILENA;KOBIETA;75382;17271524
NATALIIA;KOBIETA;74219;17345743
OLENA;KOBIETA;73080;17418823
WIOLETTA;KOBIETA;72654;17491477
MIROS£AWA;KOBIETA;70835;17562312
IRYNA;KOBIETA;69432;17631744
LAURA;KOBIETA;68705;17700449
ANTONINA;KOBIETA;66429;17766878
ANGELIKA;KOBIETA;64922;17831800
OLGA;KOBIETA;60922;17892722
KAZIMIERA;KOBIETA;57167;17949889
OLHA;KOBIETA;56090;18005979
BOGUMI£A;KOBIETA;55562;18061541
OKSANA;KOBIETA;54962;18116503
ILONA;KOBIETA;54790;18171293
MICHALINA;KOBIETA;54383;18225676
SANDRA;KOBIETA;54149;18279825
GENOWEFA;KOBIETA;52195;18332020
MARIIA;KOBIETA;52027;18384047
SVITLANA;KOBIETA;51653;18435700
NADIA;KOBIETA;51425;18487125
YULIIA;KOBIETA;49583;18536708
ANASTASIIA;KOBIETA;49489;18586197
KORNELIA;KOBIETA;49171;18635368
MARLENA;KOBIETA;48490;18683858
VIKTORIIA;KOBIETA;48155;18732013
HENRYKA;KOBIETA;47936;18779949
£UCJA;KOBIETA;47856;18827805
SABINA;KOBIETA;47632;18875437
BOGUS£AWA;KOBIETA;47555;18922992
NINA;KOBIETA;45929;18968921
JÓZEFA;KOBIETA;45912;19014833
ANITA;KOBIETA;45828;19060661
STEFANIA;KOBIETA;45054;19105715
IGA;KOBIETA;44739;19150454
LILIANA;KOBIETA;44645;19195099
REGINA;KOBIETA;43728;19238827
POLA;KOBIETA;43463;19282290
MARCELINA;KOBIETA;43323;19325613
KATERYNA;KOBIETA;42608;19368221
JAGODA;KOBIETA;41556;19409777
CZES£AWA;KOBIETA;39629;19449406
ANIELA;KOBIETA;39292;19488698
W£ADYS£AWA;KOBIETA;38678;19527376
KARINA;KOBIETA;36638;19564014
LIUDMYLA;KOBIETA;36504;19600518
WIOLETA;KOBIETA;34421;19634939
ADRIANNA;KOBIETA;33689;19668628
DIANA;KOBIETA;32586;19701214
ROKSANA;KOBIETA;31975;19733189
DAGMARA;KOBIETA;31723;19764912
SARA;KOBIETA;30962;19795874
MALWINA;KOBIETA;30097;19825971
HALYNA;KOBIETA;27954;19853925
ELIZA;KOBIETA;27710;19881635
CECYLIA;KOBIETA;27481;19909116
¯ANETA;KOBIETA;27136;19936252
MARYNA;KOBIETA;26771;19963023
ZDZIS£AWA;KOBIETA;26184;19989207
SOFIIA;KOBIETA;25873;20015080
KLARA;KOBIETA;25510;20040590
RÓ¯A;KOBIETA;25272;20065862
KAJA;KOBIETA;24940;20090802
VALENTYNA;KOBIETA;24848;20115650
LEOKADIA;KOBIETA;24757;20140407
BLANKA;KOBIETA;24233;20164640
NADIIA;KOBIETA;23451;20188091
ANASTAZJA;KOBIETA;23401;20211492
BERNADETA;KOBIETA;22943;20234435
BRONIS£AWA;KOBIETA;22236;20256671
EUGENIA;KOBIETA;22041;20278712
JULITA;KOBIETA;21800;20300512
OLEKSANDRA;KOBIETA;21633;20322145
ALDONA;KOBIETA;21069;20343214
ROZALIA;KOBIETA;20544;20363758
VIOLETTA;KOBIETA;20517;20384275
DANIELA;KOBIETA;20067;20404342
LILIANNA;KOBIETA;19439;20423781
INNA;KOBIETA;19216;20442997
MAGDA;KOBIETA;18330;20461327
CELINA;KOBIETA;17712;20479039
YANA;KOBIETA;17493;20496532
MATYLDA;KOBIETA;17036;20513568
LIUBOV;KOBIETA;17033;20530601
ADRIANA;KOBIETA;16170;20546771
HONORATA;KOBIETA;16126;20562897
VERONIKA;KOBIETA;15775;20578672
NELA;KOBIETA;15560;20594232
PAULA;KOBIETA;15441;20609673
LARYSA;KOBIETA;15119;20624792
BRYGIDA;KOBIETA;14544;20639336
AURELIA;KOBIETA;14510;20653846
VALERIIA;KOBIETA;14463;20668309
IZABELLA;KOBIETA;14438;20682747
KALINA;KOBIETA;13984;20696731
ALLA;KOBIETA;13698;20710429
MARIKA;KOBIETA;13342;20723771
GERTRUDA;KOBIETA;13188;20736959
MIECZYS£AWA;KOBIETA;13188;20750147
SONIA;KOBIETA;12832;20762979
BO¯ENNA;KOBIETA;12650;20775629
ELWIRA;KOBIETA;12596;20788225
LILIIA;KOBIETA;12388;20800613
MARZANNA;KOBIETA;12383;20812996
OLIVIA;KOBIETA;12310;20825306
TAMARA;KOBIETA;12274;20837580
AND¯ELIKA;KOBIETA;11819;20849399
POLINA;KOBIETA;11539;20860938
ALONA;KOBIETA;11520;20872458
ARLETA;KOBIETA;11289;20883747
TATIANA;KOBIETA;11103;20894850
YELYZAVETA;KOBIETA;11080;20905930
LUIZA;KOBIETA;10849;20916779
KHRYSTYNA;KOBIETA;10303;20927082
VICTORIA;KOBIETA;10145;20937227
ADELA;KOBIETA;9781;20947008
JUDYTA;KOBIETA;9756;20956764
MIA;KOBIETA;9600;20966364
NICOLE;KOBIETA;9500;20975864
FRANCISZKA;KOBIETA;9361;20985225
IVANNA;KOBIETA;9334;20994559
MARIANA;KOBIETA;9189;21003748
NICOLA;KOBIETA;9040;21012788
NATASZA;KOBIETA;9003;21021791
LIWIA;KOBIETA;8869;21030660
JOWITA;KOBIETA;8731;21039391
VIRA;KOBIETA;8492;21047883
VANESSA;KOBIETA;8411;21056294
ALFREDA;KOBIETA;8366;21064660
YEVHENIIA;KOBIETA;8331;21072991
APOLONIA;KOBIETA;8036;21081027
ROMANA;KOBIETA;7941;21088968
MELANIA;KOBIETA;7862;21096830
INGA;KOBIETA;7857;21104687
JESSICA;KOBIETA;7661;21112348
ANHELINA;KOBIETA;7609;21119957
ELENA;KOBIETA;7551;21127508
DARYNA;KOBIETA;7484;21134992
ADA;KOBIETA;7467;21142459
ELEONORA;KOBIETA;7374;21149833
MARZENNA;KOBIETA;7320;21157153
JULIANNA;KOBIETA;7307;21164460
ESTERA;KOBIETA;7231;21171691
BIANKA;KOBIETA;7046;21178737
LUDWIKA;KOBIETA;7034;21185771
MARHARYTA;KOBIETA;7006;21192777
LESIA;KOBIETA;6958;21199735
MILANA;KOBIETA;6851;21206586
SOFIA;KOBIETA;6769;21213355
BERNADETTA;KOBIETA;6619;21219974
ZENONA;KOBIETA;6585;21226559
WAC£AWA;KOBIETA;6387;21232946
KARYNA;KOBIETA;6276;21239222
ZLATA;KOBIETA;6249;21245471
KIRA;KOBIETA;6240;21251711
ULIANA;KOBIETA;6189;21257900
ALISA;KOBIETA;6130;21264030
DONATA;KOBIETA;6084;21270114
WALENTYNA;KOBIETA;6063;21276177
LUDMI£A;KOBIETA;6054;21282231
ANETTA;KOBIETA;6038;21288269
YEVA;KOBIETA;5971;21294240
LIDIIA;KOBIETA;5924;21300164
MAYA;KOBIETA;5913;21306077
OLESIA;KOBIETA;5905;21311982
FELICJA;KOBIETA;5903;21317885
LILIA;KOBIETA;5888;21323773
RITA;KOBIETA;5855;21329628
IDA;KOBIETA;5731;21335359
HILDEGARDA;KOBIETA;5683;21341042
ZENOBIA;KOBIETA;5649;21346691
EMMA;KOBIETA;5614;21352305
AMANDA;KOBIETA;5561;21357866
ROMUALDA;KOBIETA;5515;21363381
KSENIIA;KOBIETA;5430;21368811
MYROSLAVA;KOBIETA;5369;21374180
OTYLIA;KOBIETA;5369;21379549
KRISTINA;KOBIETA;5289;21384838
ARINA;KOBIETA;5256;21390094
GIZELA;KOBIETA;5242;21395336
RUSLANA;KOBIETA;5127;21400463
IRMINA;KOBIETA;5074;21405537
ALBINA;KOBIETA;5043;21410580
DARIIA;KOBIETA;4896;21415476
VITA;KOBIETA;4877;21420353
VIKTORIA;KOBIETA;4833;21425186
LILLA;KOBIETA;4715;21429901
S£AWOMIRA;KOBIETA;4706;21434607
BERNARDA;KOBIETA;4599;21439206
ALENA;KOBIETA;4586;21443792
ERYKA;KOBIETA;4581;21448373
PELAGIA;KOBIETA;4536;21452909
ANGELINA;KOBIETA;4536;21457445
GAJA;KOBIETA;4468;21461913
SOLOMIIA;KOBIETA;4456;21466369
ANASTASIYA;KOBIETA;4362;21470731
YULIYA;KOBIETA;4338;21475069
LONGINA;KOBIETA;4285;21479354
WALERIA;KOBIETA;4149;21483503
RYSZARDA;KOBIETA;4124;21487627
VLADYSLAVA;KOBIETA;4114;21491741
KAMILLA;KOBIETA;4063;21495804
TEODOZJA;KOBIETA;4048;21499852
TEODORA;KOBIETA;3970;21503822
IRINA;KOBIETA;3910;21507732
ALEXANDRA;KOBIETA;3894;21511626
ZHANNA;KOBIETA;3880;21515506
RAISA;KOBIETA;3838;21519344
MIRELA;KOBIETA;3832;21523176
TATSIANA;KOBIETA;3791;21526967
ADELAJDA;KOBIETA;3732;21530699
ZOJA;KOBIETA;3725;21534424
LILA;KOBIETA;3713;21538137
VARVARA;KOBIETA;3700;21541837
VOLHA;KOBIETA;3654;21545491
FAUSTYNA;KOBIETA;3625;21549116
ANZHELA;KOBIETA;3616;21552732
KATSIARYNA;KOBIETA;3559;21556291
NATALIYA;KOBIETA;3496;21559787
MARINA;KOBIETA;3492;21563279
MARIYA;KOBIETA;3464;21566743
BOHDANA;KOBIETA;3440;21570183
SAMANTA;KOBIETA;3435;21573618
ANASTASIA;KOBIETA;3413;21577031
OLIMPIA;KOBIETA;3386;21580417
NATALLIA;KOBIETA;3368;21583785
